colorNameId,participantId,lang0,phaseNum,trialNum,tileNum,name,r,g,b,lab_l,lab_a,lab_b,bin
1,3138,English (English),0,1,0,teal,0,255,193,89,-64,15,14
2,3138,English (English),0,1,1,red,255,0,48,53,80,49,34
3,3138,English (English),0,1,2,green,0,255,129,88,-76,46,12
4,3138,English (English),0,1,3,aqua,0,255,237,90,-53,-5,15
5,3138,English (English),0,1,4,magenta,255,0,196,57,90,-32,30
6,3138,English (English),0,1,5,orange,255,143,0,70,35,75,2
7,3138,English (English),0,1,6,lime green,129,255,0,89,-67,85,9
8,3138,English (English),0,1,7,purple,197,0,255,50,90,-76,27
9,3138,English (English),0,1,8,blue,0,147,255,59,7,-62,20
10,3138,English (English),0,1,9,seafoam green,0,255,158,88,-71,32,13
11,3138,English (English),0,1,10,red,255,32,0,54,76,67,0
12,3138,English (English),0,1,11,lime green,178,255,0,92,-51,88,8
13,3138,English (English),0,3,0,blue,67,0,255,34,80,-103,25
14,3138,English (English),0,3,1,red-orange,255,89,0,60,60,70,1
15,3138,English (English),0,3,2,yellow,255,239,0,93,-13,91,5
16,3138,English (English),0,3,3,purple,153,0,255,44,85,-87,26
17,3138,English (English),0,3,4,green,0,255,107,88,-79,55,11
18,3138,English (English),0,3,5,blue,0,112,255,50,28,-77,21
19,3138,English (English),0,3,6,yellow,249,255,0,96,-24,93,6
20,3138,English (English),0,3,7,blue,0,165,255,65,-3,-54,19
21,3138,English (English),0,3,8,blue,0,121,255,52,23,-73,21
22,3138,English (English),0,3,9,dark coral,255,0,88,53,82,26,33
23,3138,English (English),0,3,10,green,0,255,47,87,-84,76,10
24,3138,English (English),0,3,11,pink,255,0,168,56,87,-17,31
25,3138,English (English),0,6,0,blue,0,89,255,44,43,-87,22
26,3138,English (English),0,6,1,light blue,0,211,255,78,-27,-33,17
27,3138,English (English),0,6,2,blue,0,46,255,36,66,-101,24
28,3138,English (English),0,6,3,light blue,0,187,255,71,-15,-44,18
29,3138,English (English),0,6,4,pink,255,0,220,58,93,-44,29
30,3138,English (English),0,6,5,magenta,247,0,255,58,97,-63,28
31,3138,English (English),0,6,6,light blue,0,234,255,85,-38,-23,16
32,3138,English (English),0,6,7,orange,255,167,0,75,22,79,3
33,3138,English (English),0,6,8,neon yellow,204,255,0,93,-41,90,7
34,3138,English (English),0,6,9,orange,255,209,0,85,1,86,4
